List of importing markets for a product exported by Niger Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	211,269	198,996	228,721	399,780	485,723	469,972	627,075	1,025,554	628,012	483,502	1,080,650	1,306,748	1,337,151	
Afghanistan	0	0	0	0	0	0	12	0	0	0	0	0	0	
Albania	0	0	0	0	0	0	0	0	1	0	0	0	0	
Algeria	345	563	554	647	429	368	236	195	182	8,620	942	2,186	1,337	
America not elsewhere specified	0	0	44	0	0	0	0	0	0	0	0	0	0	
Andorra	0	0	0	0	0	0	0	36	3	1	0	0	0	
Angola	2	0	0	5	0	11	0	0	0	3	181	31	0	
Area Nes	145	0	0	126,011	138,474	144,565	141,763	278,138	9,465	8,630	5,991	4,576	1,773	
Argentina	0	0	17	0	0	3	0	0	0	0	127	82	20	
Armenia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Australia	0	0	0	1	29	1	43	74	0	0	13	0	0	
Austria	0	0	0	0	0	0	0	24	1	0	0	0	2	
Azerbaijan	0	0	0	0	0	741	0	0	0	0	0	0	0	
Bahamas	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bahrain	0	0	246	0	6	0	0	0	0	0	0	0	0	
Bangladesh	0	34	196	380	500	393	237	293	183	79	67	57	30	
Barbados	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belgium	39	4	218	216	368	988	1,848	1,804	1,256	1,603	5,834	2,462	1,125	
Benin	2,233	5,034	3,872	3,700	6,925	6,387	2,846	4,026	2,483	1,169	3,592	4,090	4,322	
Bermuda	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bhutan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	14	0	0	0	0	0	0	0	0	0	0	0	0	
Bosnia and Herzegovina	0	0	0	0	0	26	0	0	0	0	0	0	0	
Botswana	0	0	0	0	0	29	0	29	0	0	0	0	0	
Brazil	82	16	20	0	11	1,966	3,396	3,665	3,196	6,636	13,948	31,348	10,539	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brunei Darussalam	0	0	0	1	0	0	0	0	0	19	10	2	0	
Bulgaria	41	0	0	0	0	0	0	7	4	21	65	1	0	
Burkina Faso	1,322	1,029	2,168	2,399	3,423	2,454	4,444	3,779	3,012	2,979	2,118	36,576	217,736	
Burundi	2	0	1	11	4	3	15	0	0	0	0	1	0	
Cabo Verde	0	0	3	0	0	0	0	0	0	0	3	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cameroon	50	0	0	2	3,296	304	16	1,464	3,194	2,485	9,090	2,726	2,517	
Canada	26	1	0	49	119	426	753	842	474	573	1,745	2,015	258	
Central African Republic	0	0	0	50	5	9	0	0	0	5	8	10	0	
Chad	1,367	132	99	392	60	140	1	6	7	96	380	344	40	
Chile	0	0	0	0	0	0	0	0	0	0	96	66	16	
China	337	210	144	860	1,233	3,793	3,876	2,788	3,063	37,604	43,843	61,990	83,176	
Christmas Islands	0	0	0	0	0	0	29	0	0	0	0	0	0	
Colombia	0	0	0	1	6	0	0	0	0	0	0	44	17	
Comoros	0	12	0	10	1	10	0	0	0	0	0	0	0	
Congo	0	0	0	64	1	43	3	0	7	0	0	49	1	
Cook Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Costa Rica	0	0	0	0	0	0	0	0	0	0	0	0	0	
Côte d'Ivoire	7,667	6,898	8,155	10,650	9,921	7,775	14,349	13,929	11,488	8,868	17,690	9,135	7,263	
Croatia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cuba	0	2	0	0	25	10	21	0	1	0	0	0	0	
Cyprus	1	0	0	0	1	88	0	0	0	0	244	1,110	185	
Czech Republic	0	0	6	0	0	0	0	0	7	0	0	0	0	
Democratic Republic of the Congo	0	0	0	6	0	0	0	1	15	20	9	0	3	
Denmark	1	0	7	30	0	12	19	47	23	0	12	0	1	
Djibouti	0	0	0	0	0	0	7	0	11	0	0	0	0	
Dominican Republic	0	0	0	0	0	0	0	14	0	0	0	0	0	
Ecuador	0	0	0	0	0	0	0	0	0	0	49	54	0	
Egypt	0	60	5	40	740	3	13	34	658	110	4	0	11	
El Salvador	0	0	0	0	0	0	0	0	0	0	0	0	0	
Equatorial Guinea	0	0	0	123	0	0	0	31	2	0	10	1	0	
Eritrea	0	0	0	0	0	0	0	1	2	0	0	0	0	
Estonia	0	0	0	0	0	1	0	9	0	0	0	0	0	
Ethiopia	0	0	0	0	0	48	0	0	6	0	10	2	0	
Faroe Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Finland	0	0	0	0	4	0	10	0	0	0	0	7	9	
France	56,493	60,795	76,318	92,319	107,882	114,859	208,806	259,241	295,723	43,532	440,527	512,256	529,245	
French South Antarctic Territories	0	0	0	0	1	0	0	0	0	0	0	0	0	
Gabon	27	3	0	91	1,347	88	2	8	177	1,047	19	25	4	
Gambia	2	0	9	1	33	21	0	0	0	0	0	0	0	
Georgia	0	0	0	0	0	0	0	0	0	1	0	0	0	
Germany	82	139	176	223	22	2,845	617	1,040	3,790	5,666	19,648	7,823	3,553	
Ghana	3,584	8,949	10,405	15,948	17,195	14,412	17,417	19,644	24,088	6,577	35,653	16,343	3,604	
Gibraltar	0	0	0	0	0	0	0	0	0	12	0	0	0	
Greece	0	2	0	155	0	0	188	334	961	560	139	363	0	
Greenland	0	0	0	0	0	0	0	0	0	0	0	0	0	
Grenada	0	0	0	0	0	0	0	0	0	0	0	0	0	
Guatemala	0	0	0	0	1	0	0	0	0	0	0	0	0	
Guinea	0	0	22	316	38	25	7	77	1	35	225	24	4	
Guinea-Bissau	0	0	0	1	403	3	0	0	0	5	0	867	0	
Guyana	0	0	0	0	0	0	0	0	0	0	0	0	0	
Haiti	0	0	0	0	0	0	0	0	0	0	0	0	0	
Honduras	0	0	0	0	0	0	0	0	13	18	38	0	106	
Hong Kong, China	0	31	0	103	90	1	0	0	0	3	15	0	0	
Hungary	0	0	0	0	0	0	0	0	19	0	22	0	0	
Iceland	1	0	0	0	0	0	0	0	0	0	0	0	0	
